number,value,datetime_start,datetime_complete,duration,params_C,state
0,0.9975031210986267,2025-08-05 13:08:53.496212,2025-08-05 13:08:53.518204,0 days 00:00:00.021992,10.0,COMPLETE
1,0.9975031210986267,2025-08-05 13:08:53.526425,2025-08-05 13:08:53.543389,0 days 00:00:00.016964,0.1,COMPLETE
2,0.9975031210986267,2025-08-05 13:08:53.543389,2025-08-05 13:08:53.559216,0 days 00:00:00.015827,10.0,COMPLETE
3,0.9975031210986267,2025-08-05 13:08:53.559216,2025-08-05 13:08:53.575346,0 days 00:00:00.016130,1.0,COMPLETE
4,0.9975031210986267,2025-08-05 13:08:53.575346,2025-08-05 13:08:53.591526,0 days 00:00:00.016180,10.0,COMPLETE
5,0.9975031210986267,2025-08-05 13:08:53.591526,2025-08-05 13:08:53.639283,0 days 00:00:00.047757,10.0,COMPLETE
6,0.9975031210986267,2025-08-05 13:08:53.639283,2025-08-05 13:08:53.657215,0 days 00:00:00.017932,0.1,COMPLETE
7,0.9975031210986267,2025-08-05 13:08:53.657215,2025-08-05 13:08:53.686468,0 days 00:00:00.029253,10.0,COMPLETE
8,0.9975031210986267,2025-08-05 13:08:53.686468,2025-08-05 13:08:53.703334,0 days 00:00:00.016866,0.1,COMPLETE
9,0.9975031210986267,2025-08-05 13:08:53.703334,2025-08-05 13:08:53.733988,0 days 00:00:00.030654,10.0,COMPLETE
10,0.9975031210986267,2025-08-05 13:08:53.733988,2025-08-05 13:08:53.758275,0 days 00:00:00.024287,1.0,COMPLETE
11,0.9975031210986267,2025-08-05 13:08:53.758275,2025-08-05 13:08:53.773237,0 days 00:00:00.014962,0.1,COMPLETE
12,0.9975031210986267,2025-08-05 13:08:53.773237,2025-08-05 13:08:53.780994,0 days 00:00:00.007757,0.1,COMPLETE
13,0.9975031210986267,2025-08-05 13:08:53.780994,2025-08-05 13:08:53.812784,0 days 00:00:00.031790,0.1,COMPLETE
14,0.9975031210986267,2025-08-05 13:08:53.812784,2025-08-05 13:08:53.941724,0 days 00:00:00.128940,1.0,COMPLETE
15,0.9975031210986267,2025-08-05 13:08:53.941724,2025-08-05 13:08:53.971688,0 days 00:00:00.029964,10.0,COMPLETE
16,0.9975031210986267,2025-08-05 13:08:53.972694,2025-08-05 13:08:53.992723,0 days 00:00:00.020029,0.1,COMPLETE
17,0.9975031210986267,2025-08-05 13:08:53.992723,2025-08-05 13:08:54.013049,0 days 00:00:00.020326,10.0,COMPLETE
18,0.9975031210986267,2025-08-05 13:08:54.016815,2025-08-05 13:08:54.030207,0 days 00:00:00.013392,0.1,COMPLETE
19,0.9975031210986267,2025-08-05 13:08:54.030207,2025-08-05 13:08:54.051502,0 days 00:00:00.021295,1.0,COMPLETE
