number,value,datetime_start,datetime_complete,duration,params_C,params_kernel,state
0,0.9975031210986267,2025-08-05 13:09:09.275413,2025-08-05 13:09:09.275413,0 days 00:00:00,0.1,linear,COMPLETE
1,0.9975031210986267,2025-08-05 13:09:09.291306,2025-08-05 13:09:09.291306,0 days 00:00:00,1.0,rbf,COMPLETE
2,0.9962499882665465,2025-08-05 13:09:09.291306,2025-08-05 13:09:09.309276,0 days 00:00:00.017970,1.0,linear,COMPLETE
3,0.9962499882665465,2025-08-05 13:09:09.309276,2025-08-05 13:09:09.323311,0 days 00:00:00.014035,1.0,linear,COMPLETE
4,0.9962499882665465,2025-08-05 13:09:09.323311,2025-08-05 13:09:09.339367,0 days 00:00:00.016056,1.0,linear,COMPLETE
5,0.9975031210986267,2025-08-05 13:09:09.339367,2025-08-05 13:09:09.355395,0 days 00:00:00.016028,0.1,rbf,COMPLETE
6,0.9975031210986267,2025-08-05 13:09:09.355395,2025-08-05 13:09:09.355395,0 days 00:00:00,0.1,linear,COMPLETE
7,0.9962499882665465,2025-08-05 13:09:09.355395,2025-08-05 13:09:09.371158,0 days 00:00:00.015763,1.0,linear,COMPLETE
8,0.9962499882665465,2025-08-05 13:09:09.371158,2025-08-05 13:09:09.387148,0 days 00:00:00.015990,1.0,linear,COMPLETE
9,0.9975031210986267,2025-08-05 13:09:09.387148,2025-08-05 13:09:09.405164,0 days 00:00:00.018016,1.0,rbf,COMPLETE
10,0.9975031210986267,2025-08-05 13:09:09.405164,2025-08-05 13:09:09.419111,0 days 00:00:00.013947,0.1,rbf,COMPLETE
11,0.9975031210986267,2025-08-05 13:09:09.419111,2025-08-05 13:09:09.438828,0 days 00:00:00.019717,0.1,rbf,COMPLETE
12,0.9975031210986267,2025-08-05 13:09:09.438828,2025-08-05 13:09:09.454870,0 days 00:00:00.016042,0.1,rbf,COMPLETE
13,0.9975031210986267,2025-08-05 13:09:09.454870,2025-08-05 13:09:09.475016,0 days 00:00:00.020146,0.1,rbf,COMPLETE
14,0.9962499882665465,2025-08-05 13:09:09.475016,2025-08-05 13:09:09.486793,0 days 00:00:00.011777,1.0,linear,COMPLETE
15,0.9975031210986267,2025-08-05 13:09:09.486793,2025-08-05 13:09:09.498817,0 days 00:00:00.012024,0.1,rbf,COMPLETE
16,0.9975031210986267,2025-08-05 13:09:09.498817,2025-08-05 13:09:09.514676,0 days 00:00:00.015859,1.0,rbf,COMPLETE
17,0.9975031210986267,2025-08-05 13:09:09.514676,2025-08-05 13:09:09.514676,0 days 00:00:00,0.1,linear,COMPLETE
18,0.9962499882665465,2025-08-05 13:09:09.530735,2025-08-05 13:09:09.546458,0 days 00:00:00.015723,1.0,linear,COMPLETE
19,0.9975031210986267,2025-08-05 13:09:09.546458,2025-08-05 13:09:09.564383,0 days 00:00:00.017925,0.1,rbf,COMPLETE
