number,value,datetime_start,datetime_complete,duration,params_max_depth,params_n_estimators,state
0,0.9975031210986267,2025-08-05 13:08:59.276029,2025-08-05 13:08:59.444191,0 days 00:00:00.168162,5,50,COMPLETE
1,0.9975031210986267,2025-08-05 13:08:59.444191,2025-08-05 13:08:59.721253,0 days 00:00:00.277062,5,100,COMPLETE
2,0.9975031210986267,2025-08-05 13:08:59.721253,2025-08-05 13:08:59.880866,0 days 00:00:00.159613,3,50,COMPLETE
3,0.9975031210986267,2025-08-05 13:08:59.880866,2025-08-05 13:09:00.062855,0 days 00:00:00.181989,5,50,COMPLETE
4,0.9975031210986267,2025-08-05 13:09:00.062855,2025-08-05 13:09:00.327858,0 days 00:00:00.265003,5,100,COMPLETE
5,0.9975031210986267,2025-08-05 13:09:00.343601,2025-08-05 13:09:00.488141,0 days 00:00:00.144540,3,50,COMPLETE
6,0.9975031210986267,2025-08-05 13:09:00.488141,2025-08-05 13:09:00.774082,0 days 00:00:00.285941,3,100,COMPLETE
7,0.9975031210986267,2025-08-05 13:09:00.774082,2025-08-05 13:09:01.060565,0 days 00:00:00.286483,5,100,COMPLETE
8,0.9975031210986267,2025-08-05 13:09:01.060565,2025-08-05 13:09:01.378648,0 days 00:00:00.318083,5,100,COMPLETE
9,0.9975031210986267,2025-08-05 13:09:01.378648,2025-08-05 13:09:01.663450,0 days 00:00:00.284802,5,100,COMPLETE
10,0.9975031210986267,2025-08-05 13:09:01.663450,2025-08-05 13:09:01.807194,0 days 00:00:00.143744,3,50,COMPLETE
11,0.9975031210986267,2025-08-05 13:09:01.807194,2025-08-05 13:09:01.966783,0 days 00:00:00.159589,5,50,COMPLETE
12,0.9975031210986267,2025-08-05 13:09:01.966783,2025-08-05 13:09:02.252068,0 days 00:00:00.285285,5,100,COMPLETE
13,0.9975031210986267,2025-08-05 13:09:02.252068,2025-08-05 13:09:02.411577,0 days 00:00:00.159509,5,50,COMPLETE
14,0.9975031210986267,2025-08-05 13:09:02.411577,2025-08-05 13:09:02.570743,0 days 00:00:00.159166,5,50,COMPLETE
15,0.9975031210986267,2025-08-05 13:09:02.570743,2025-08-05 13:09:02.889807,0 days 00:00:00.319064,5,100,COMPLETE
16,0.9975031210986267,2025-08-05 13:09:02.889807,2025-08-05 13:09:03.175037,0 days 00:00:00.285230,5,100,COMPLETE
17,0.9975031210986267,2025-08-05 13:09:03.175037,2025-08-05 13:09:03.350732,0 days 00:00:00.175695,5,50,COMPLETE
18,0.9975031210986267,2025-08-05 13:09:03.350732,2025-08-05 13:09:03.637417,0 days 00:00:00.286685,3,100,COMPLETE
19,0.9975031210986267,2025-08-05 13:09:03.637417,2025-08-05 13:09:03.796503,0 days 00:00:00.159086,5,50,COMPLETE
